"ME_MHCII_high_S1"	"ME_MHCII_high_S2"	"ME_MHCII_high_S3"	"ME_MHCII_high_S4"	"ME_MHCII_int_S1"	"ME_MHCII_int_S2"	"ME_MHCII_int_S3"	"ME_MHCII_int_S4"	"PM_S1_2_S4"	"PM_S2_1_S1"	"PM_S3_1_S2"	"PM_S4_1_S3"
"Dynap"	0	0	0	0	0	0	0	0	0	0	0	0
"Dync1h1"	4275	3271	2305	3619	3133	2394	2128	3166	2754	2684	1125	3075
"Dync1i1"	5	0	5	0	2	0	0	0	0	0	0	0
"Dync1i2"	2227	1535	1700	1734	2027	1732	1889	1824	1640	1655	1780	1248
"Dync1li1"	1791	1170	1491	1439	1554	1821	1463	1925	1438	1311	1478	1366
"Dync1li2"	2272	1702	2133	1737	1822	1514	1733	2276	1794	2026	1570	1294
"Dync2h1"	58	92	25	78	53	15	111	161	92	33	29	41
"Dync2li1"	63	85	75	116	137	97	106	147	108	53	83	52
"Dynll1"	2865	1762	1989	1890	1610	1442	1251	1369	2743	1951	3602	2550
"Dynll2"	714	674	724	544	870	813	722	845	1081	934	1019	727
"Dynlrb1"	1669	1216	1495	1638	1434	1514	1280	1486	2186	1842	2309	1497
"Dynlrb2"	0	0	0	0	0	3	0	2	0	0	0	0
"Dynlt1a"	147	119	154	125	217	291	161	257	344	221	395	189
"Dynlt1b"	15	25	7	6	15	16	5	10	10	12	19	3
"Dynlt1c"	0	0	0	0	0	0	0	0	0	0	0	0
"Dynlt1f"	32	7	13	8	12	11	10	18	7	3	9	15
"Dynlt3"	2072	2053	2246	2207	1777	2182	2069	2432	2922	2164	3185	1895
"Dyrk1a"	1969	1455	1313	1503	1857	1945	1621	1829	1082	1083	1060	891
"Dyrk1b"	329	248	123	191	257	400	301	297	295	344	226	187
"Dyrk2"	1041	621	683	865	961	1172	980	1274	598	641	409	474
"Dyrk3"	39	15	38	57	15	17	25	16	164	178	163	109
"Dyrk4"	15	29	44	20	0	56	29	24	15	0	0	0
"Dysf"	14	24	18	48	7	0	0	0	0	0	0	0
"Dytn"	0	0	0	0	0	0	0	0	0	0	0	0
"Dyx1c1"	5	18	14	10	3	39	18	9	13	2	7	5
"Dzank1"	34	21	19	24	49	21	13	42	15	0	14	0
"Dzip1"	25	14	17	37	27	105	49	61	250	351	341	263
"Dzip1l"	0	6	3	1	1	22	0	2	0	0	0	0
"Dzip3"	403	389	615	694	493	522	407	559	212	208	270	138
"E030002O03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E030003E18Rik"	1	0	0	5	4	3	3	0	0	0	0	0
"E030011O05Rik"	0	21	0	0	0	0	0	0	0	0	0	0
"E030013I19Rik"	13	0	0	0	0	0	7	0	0	0	0	0
"E030018B13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E030019B13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E030024N20Rik"	135	170	107	161	138	115	121	110	181	187	202	106
"E030025P04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E030030I06Rik"	21	24	21	31	22	64	64	48	26	54	52	30
"E030044B06Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E130006D01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E130008D07Rik"	0	0	0	0	0	1	0	0	1	0	0	0
"E130012A19Rik"	322	159	195	139	179	169	213	147	204	217	286	228
"E130018N17Rik"	0	0	0	4	0	0	0	0	0	9	0	0
"E130102H24Rik"	3	15	8	0	23	29	14	37	13	8	24	9
"E130112N10Rik"	4	15	5	26	4	10	4	12	21	11	17	11
"E130114P18Rik"	0	0	0	0	0	10	0	0	0	0	0	0
"E130201H02Rik"	0	0	0	1	0	0	0	0	0	0	1	0
"E130215H24Rik"	6	0	7	6	28	23	7	9	4	8	4	1
"E130218I03Rik"	0	0	0	5	6	1	0	5	0	3	0	0
"E130304I02Rik"	0	0	0	0	0	0	0	0	8	0	3	4
"E130307A14Rik"	162	157	109	150	134	182	136	176	70	109	98	67
"E130308A19Rik"	292	105	198	176	452	221	143	228	94	105	118	101
"E130309D02Rik"	997	760	665	672	975	988	607	784	938	814	1181	821
"E130309D14Rik"	10	22	5	45	4	21	7	6	18	44	62	50
"E130310I04Rik"	2	5	7	0	3	3	0	4	0	0	1	0
"E130311K13Rik"	250	259	192	251	195	208	244	222	219	228	262	178
"E130317F20Rik"	7	9	13	22	16	52	31	26	56	42	24	21
"E230013L22Rik"	154	148	193	163	148	148	276	172	28	58	48	30
"E230016K23Rik"	3	13	18	20	5	16	3	10	71	106	68	91
"E230016M11Rik"	0	6	0	0	0	3	3	0	3	3	20	4
"E230025N22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E230029C05Rik"	122	95	103	200	44	104	49	69	12	4	10	1
"E2f1"	1290	641	689	795	994	995	792	799	1036	740	1150	838
"E2f2"	408	195	201	417	90	336	138	172	266	170	271	162
"E2f3"	200	131	137	132	140	215	210	163	339	356	363	358
"E2f4"	1821	1091	1200	1495	1630	1889	1528	1384	1272	1705	1823	1420
"E2f5"	681	565	651	540	716	946	700	739	203	128	210	119
"E2f6"	499	360	296	308	451	451	289	439	948	814	1391	686
"E2f7"	115	39	52	37	62	53	73	53	189	203	200	78
"E2f8"	389	99	146	345	126	43	95	92	597	340	567	244
"E330009J07Rik"	10	18	13	34	14	45	3	10	20	43	35	12
"E330011O21Rik"	0	0	0	0	1	0	0	0	0	0	0	0
"E330012B07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E330013P04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E330014E10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E330017A01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E330017L17Rik"	0	0	0	0	0	0	0	3	0	0	0	0
"E330020D12Rik"	72	51	55	52	53	44	58	54	63	55	62	39
"E330021D16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E330023G01Rik"	1	0	0	3	5	3	1	11	6	2	7	5
"E330033B04Rik"	25	33	49	27	50	47	31	30	52	55	46	39
"E330034G19Rik"	0	0	0	0	0	0	0	1	0	0	0	0
"E430016F16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E430018J23Rik"	54	72	22	50	53	114	59	70	77	57	93	59
"E430025E21Rik"	4146	3181	2804	3175	3880	4235	3537	4319	3014	3010	2294	2213
"E4f1"	686	483	359	484	707	859	802	881	385	573	520	394
"E530001F21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"E530011L22Rik"	0	1	5	12	2	12	3	5	4	0	0	0
"Eaf1"	1419	1279	839	1110	1419	1825	1555	1599	1178	1398	1433	1005
"Eaf2"	21	34	20	9	6	38	28	6	8	9	23	5
"Eapp"	844	654	628	724	664	821	547	716	636	660	839	551
"Ear1"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear10"	0	7	0	0	0	0	0	0	0	0	0	0
"Ear12"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear14"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear2"	26	38	30	90	2	38	16	39	45	29	14	29
"Ear3"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear4"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear6"	0	0	0	0	0	0	0	0	0	0	0	0
"Ear7"	0	0	0	0	0	0	0	0	0	0	0	0
"Ears2"	342	213	178	213	160	252	283	284	294	346	340	310
"Ebag9"	529	511	421	418	409	565	515	628	561	645	602	467
"Ebf1"	43	9	53	36	28	40	10	52	9	2	0	3
"Ebf2"	0	20	40	0	6	0	0	26	0	0	0	0
"Ebf3"	0	0	11	12	12	0	0	0	1	2	0	0
"Ebf4"	10	0	13	13	5	0	7	3	0	0	0	0
"Ebi3"	2455	1493	1292	1623	2249	2567	1537	2132	238	233	141	215
"Ebna1bp2"	1224	743	737	853	952	954	912	845	1454	1564	1914	1298
"Ebp"	1674	1117	1079	1167	932	1382	1124	1221	1528	1491	1824	1257
"Ebpl"	509	405	322	486	283	563	476	349	287	289	298	214
"Ecd"	1899	1249	1226	1129	1403	1829	1433	1647	1802	1941	1978	1617
"Ece1"	1141	748	929	1057	568	436	473	356	401	624	419	521
"Ece2"	249	141	156	182	145	200	257	121	389	375	692	343
"Ecel1"	0	0	0	0	0	0	0	0	0	6	2	0
"Ech1"	3297	2157	2282	2163	2800	3439	2973	2638	2979	2907	3809	2178
"Echdc1"	68	73	38	100	76	104	72	96	214	195	218	126
"Echdc2"	7	17	0	12	9	4	0	10	0	0	0	0
"Echdc3"	0	10	0	23	25	22	32	30	15	3	30	5
"Echs1"	1677	1098	1472	1210	1402	1825	1533	1561	3120	2254	3593	1800
"Eci1"	700	411	438	535	657	742	587	695	953	859	1051	595
"Eci2"	855	604	776	719	894	882	810	955	1405	902	1314	648
"Eci3"	0	0	0	0	1	0	0	0	0	0	0	0
"Ecm1"	2219	1076	1190	1443	3464	3574	2566	2864	89987	114653	68906	116897
"Ecm2"	58	15	30	25	32	42	10	2	4	0	0	1
"Ecscr"	7	0	0	6	16	11	42	33	0	0	0	0
"Ecsit"	414	117	205	186	246	326	297	312	288	345	586	333
"Ect2"	577	288	194	513	418	210	243	379	674	400	839	289
"Ect2l"	0	0	0	0	0	16	0	0	1	2	0	5
"Eda"	9	22	18	3	41	19	22	24	12	0	15	9
"Eda2r"	0	0	0	11	0	0	0	0	4	0	0	0
"Edar"	0	0	0	0	0	0	0	0	0	0	0	0
"Edaradd"	13	10	34	9	13	13	11	12	6	16	7	0
"Edc3"	1426	943	904	999	1112	1494	1222	1034	1121	1009	966	813
"Edc4"	2292	1655	1536	2094	1733	2143	1836	2398	1931	1781	1617	1918
"Eddm3b"	0	0	0	0	0	0	0	0	0	0	0	0
"Edem1"	7440	4992	4940	6539	5305	5528	4697	5689	8107	8522	6903	9398
"Edem2"	2910	1751	1948	2318	2513	3184	2448	2420	2610	2340	2917	2470
"Edem3"	1273	1309	1055	1335	1646	1514	1500	1818	1341	1657	1324	1438
"Edf1"	1990	1290	1324	1578	1402	1878	1548	1631	2629	2440	3267	1893
"Edil3"	74	87	43	124	83	97	143	92	575	890	610	643
"Edn1"	13	7	42	17	8	34	20	18	0	0	0	0
"Edn2"	0	0	0	10	2	0	0	0	0	0	0	0
"Edn3"	233	18	117	29	25	11	80	111	0	7	0	2
"Ednra"	15	36	37	102	0	25	0	23	0	0	0	0
"Ednrb"	1730	2033	2228	1578	6814	9399	9491	6816	59563	78527	75186	59965
"Edrf1"	564	363	427	500	558	472	532	858	643	530	531	461
"Eea1"	1428	1283	999	1195	1283	1831	1641	1488	1121	1130	943	729
"Eed"	2024	1311	1546	1587	1676	1769	1656	2035	2099	1267	2053	934
"Eef1a1"	34968	26901	30573	30036	20389	28607	22089	24733	61766	50700	64377	42692
"Eef1a2"	0	0	0	0	0	0	0	0	0	0	0	0
"Eef1b2"	944	862	999	875	747	867	709	841	2103	1603	2731	1217
"Eef1d"	1732	1206	1129	1187	1138	1447	1227	1241	2491	1990	3289	1811
"Eef1e1"	538	404	502	475	363	398	395	280	553	386	956	355
"Eef1g"	2967	1912	2181	2188	1938	2310	2003	2006	4693	3990	6608	4003
"Eef2"	11094	6466	7116	7852	6766	8292	6464	6739	11964	13004	10457	13241
"Eef2k"	2767	2113	2356	1833	4175	4995	3684	3579	1483	1833	1239	1894
"Eef2kmt"	481	246	271	295	303	503	408	299	764	762	1169	595
"Eefsec"	934	599	474	684	709	942	845	686	728	674	866	751
"Eepd1"	770	534	511	632	572	815	867	524	752	926	1116	633
"Efcab1"	0	0	0	13	2	0	0	2	0	0	0	0
"Efcab10"	0	0	0	0	0	0	2	4	0	0	0	0
"Efcab11"	49	19	23	62	33	66	29	83	79	31	27	19
"Efcab12"	0	14	0	0	3	29	0	14	0	0	0	1
"Efcab14"	2063	1465	1389	1533	1534	1888	1664	1709	1810	1927	1469	1810
"Efcab2"	71	64	79	108	128	145	124	140	210	182	274	138
"Efcab3"	0	0	0	0	0	0	0	0	0	0	0	0
"Efcab5"	0	0	0	0	0	0	0	0	323	503	461	328
"Efcab6"	0	0	0	0	0	0	0	0	0	0	0	0
"Efcab7"	37	10	24	31	26	56	52	65	44	15	32	35
"Efcab8"	0	0	0	0	0	0	0	0	0	0	0	0
"Efcab9"	2	0	0	0	2	0	0	2	4	2	3	8
"Efcc1"	15	12	6	7	7	2	2	25	14	10	8	13
"Efemp1"	274	303	96	560	222	363	212	307	0	0	0	0
"Efemp2"	817	512	539	583	910	1293	841	983	443	297	336	295
"Efhb"	0	0	0	0	7	2	0	4	1	8	0	0
"Efhc1"	10	29	17	26	36	14	28	26	2	0	5	0
"Efhc2"	0	0	0	0	0	0	0	0	0	0	0	0
"Efhd1"	7	4	24	14	13	39	9	3	26	22	15	21
"Efhd2"	35174	20040	22545	24377	21134	24648	21481	19980	6172	6139	5896	6460
"Efna1"	0	38	19	41	20	41	2	42	0	0	0	2
"Efna2"	9	13	3	21	10	48	19	19	7	0	0	4
"Efna3"	0	0	0	0	4	0	3	0	0	0	0	0
"Efna4"	0	0	7	0	6	0	0	0	4	0	0	0
"Efna5"	16	41	15	39	18	17	6	11	0	0	0	0
"Efnb1"	372	310	195	223	158	287	194	340	201	150	100	133
"Efnb2"	19	10	22	85	6	7	41	19	6799	7842	5109	7277
"Efnb3"	0	6	26	23	1	21	7	29	0	0	0	0
"Efr3a"	5502	3960	4025	3874	4135	3757	3438	3996	6229	6207	5313	4825
"Efr3b"	32	1	46	1	0	38	6	26	5	8	5	14
"Efs"	29	27	31	27	3	16	12	15	62	69	47	42
"Eftud1"	464	449	331	444	512	632	476	556	581	386	406	537
"Eftud2"	3451	1814	1874	2472	2660	2362	2075	2314	3031	2652	3448	2847
"Egf"	8	5	12	4	6	6	5	0	0	20	13	0
"Egfbp2"	0	0	0	0	0	0	0	0	0	0	0	0
"Egfem1"	15	0	0	0	0	0	0	0	0	0	0	0
"Egfl6"	12	0	10	0	2	16	0	0	0	0	0	0
"Egfl7"	182	245	265	245	769	1849	1640	1043	32	18	22	11
"Egfl8"	0	4	2	18	0	1	5	0	5	1	5	2
"Egflam"	60	50	52	178	30	36	13	55	0	0	0	0
"Egfr"	554	360	415	368	1260	996	822	809	51	87	82	123
"Egln1"	2109	1480	1423	1586	1813	2430	1804	1988	2848	2824	2165	3255
"Egln2"	2554	1503	1535	1746	2707	3069	2324	2138	1619	1632	1639	1427
"Egln3"	26	3	7	32	0	8	8	26	555	785	611	551
"Egr1"	198345	139814	145224	169317	174795	199355	158906	175353	432	1052	677	963
"Egr2"	11839	8561	10747	10386	10465	14276	14554	13665	34	224	117	138
"Egr3"	618	491	828	532	665	761	1185	1018	6	2	0	9
"Egr4"	0	5	4	27	9	0	42	0	0	0	0	0
"Ehbp1"	151	280	187	170	159	206	154	211	94	141	132	30
"Ehbp1l1"	7857	5166	5126	6024	5900	7837	6155	6318	6854	7844	6570	6900
"Ehd1"	8683	5418	7189	4977	10656	10862	11250	8177	15060	16983	18251	16998
"Ehd2"	37	56	34	134	10	13	43	38	68	118	117	109
"Ehd3"	69	64	20	146	30	67	49	89	7	1	3	15
"Ehd4"	31385	21069	23684	24896	30064	33920	34493	33938	3874	3917	4280	3859
"Ehf"	143	180	57	100	15	17	8	25	0	0	0	0
"Ehhadh"	231	281	241	197	328	181	238	297	149	118	195	123
"Ehmt1"	1272	940	813	975	1281	1247	977	1026	1167	1272	1310	1292
"Ehmt2"	2458	1638	1604	2177	2292	2797	2087	2511	1792	1925	1729	1937
"Ei24"	2494	1577	1638	1924	2119	2443	1939	2189	2793	2856	2818	2266
"Eid1"	2856	2192	2981	2520	2161	2770	2450	2572	975	1224	1012	928
"Eid2"	144	131	70	108	195	252	171	184	116	113	105	104
"Eid2b"	131	131	107	188	129	160	175	100	133	215	220	141
"Eid3"	17	0	2	10	6	8	6	3	1	0	0	0
"Eif1"	17162	14455	18645	17177	15205	18909	18382	17782	14020	14024	16578	9743
"Eif1a"	3383	2394	4587	3157	2935	3044	4133	3455	4869	3115	4829	3284
"Eif1ad"	919	411	445	461	728	594	488	599	910	669	1027	698
"Eif1ax"	789	574	645	562	475	561	483	489	1225	1030	1617	768
"Eif1b"	1418	1033	1218	1042	1173	1294	1061	1314	1463	1421	1739	1132
"Eif2a"	904	761	579	665	810	786	625	743	1086	930	1198	650
"Eif2ak1"	3160	2108	2129	2531	2622	2640	2482	2455	4277	4775	3784	3471
"Eif2ak2"	2205	813	1104	1424	1584	1032	1186	1362	1735	904	978	1086
"Eif2ak3"	1990	1436	1620	1399	1733	2450	1576	1926	1343	1473	1060	1697
"Eif2ak4"	498	318	526	373	483	544	395	526	471	636	559	385
"Eif2b1"	759	407	489	671	562	708	553	555	990	990	1463	904
"Eif2b2"	1090	664	642	643	867	1021	797	882	1294	1019	1364	896
"Eif2b3"	559	393	459	404	457	480	444	485	593	515	860	404
"Eif2b4"	881	683	539	602	716	852	673	732	686	552	726	518
"Eif2b5"	1913	1150	1273	1178	1375	1859	1513	1486	1705	1471	1985	1252
"Eif2d"	514	394	303	384	410	470	556	545	1138	804	1050	867
"Eif2s1"	3572	2285	3115	2581	2987	2535	2524	2881	5121	3821	6704	3579
"Eif2s2"	2070	1471	1693	1726	1863	2116	1629	1984	2677	1787	3453	1633
"Eif2s3x"	1268	1262	1013	1055	872	1008	964	1184	2112	1722	2131	1257
"Eif2s3y"	1138	1148	1129	1034	1026	1121	1177	1229	1609	1494	1798	820
"Eif3a"	4960	3497	3673	3834	4310	4677	3924	3969	4167	4326	3592	4527
"Eif3b"	5979	3213	3801	4271	4601	5299	4192	3791	5803	7282	6520	6478
"Eif3c"	4152	2821	3147	3553	3592	3825	3337	3560	4333	4558	4606	4254
"Eif3d"	3424	2295	2389	2219	2657	3350	2213	2520	3532	2943	4087	2788
"Eif3e"	2351	1619	1996	1964	1424	1845	1447	1821	3867	3068	4773	2666
"Eif3f"	1553	1200	1166	1124	1079	1292	998	1292	2025	2091	1933	2002
"Eif3g"	1853	1066	1255	1367	1332	1706	1435	1447	2135	1745	2470	1718
"Eif3h"	2338	1503	1968	1780	1412	1942	1631	1742	3761	2759	3902	2433
"Eif3i"	1335	904	952	757	758	1103	969	939	2108	1682	2499	1291
"Eif3j1"	0	0	0	0	0	0	0	0	0	0	0	0
"Eif3j2"	0	0	0	0	0	0	0	0	0	0	0	0
"Eif3k"	1464	920	1228	1279	1014	1162	887	1022	2626	2399	2949	1753
"Eif3l"	2722	1831	1980	1857	1833	2179	1883	2097	3471	2899	3762	2778
"Eif3m"	2343	1779	1812	1710	1789	1791	1433	1607	3743	2542	4269	2037
"Eif4a1"	13739	9473	12000	10149	10590	12533	12976	11925	17275	15205	25300	12666
"Eif4a2"	1687	1871	1539	1873	1970	2559	2383	3245	4920	3242	4318	2874
"Eif4a3"	2713	1943	2121	2105	2477	2945	2417	2206	3219	2802	3857	2485
"Eif4b"	2829	2111	2014	2102	2237	2923	2219	2432	3494	4090	3135	3524
"Eif4e"	3636	2497	2611	2740	3086	2956	2819	3027	3491	2639	4855	2383
"Eif4e1b"	0	0	0	0	0	0	0	0	0	0	0	0
"Eif4e2"	2425	1369	1988	1801	1699	2184	1793	1732	2798	2294	2484	2033
"Eif4e3"	1689	1283	1391	1358	1074	1172	840	1056	2239	1774	1753	1248
"Eif4ebp1"	1616	973	1070	1263	1114	1501	1022	1147	1783	2016	2302	1482
"Eif4ebp2"	359	290	284	302	331	453	329	361	345	525	287	359
"Eif4ebp3"	60	32	47	39	56	45	62	72	52	30	28	22
"Eif4enif1"	771	549	523	790	942	870	778	801	1186	916	933	900
"Eif4g1"	5312	3995	3250	4099	5013	4468	4216	4354	4883	6237	4004	5853
"Eif4g2"	26755	17963	20450	20507	20402	23457	21983	21532	26266	25756	26568	22590
"Eif4g3"	3371	2504	2261	2857	3428	2674	2793	3382	2140	2588	1923	2346
"Eif4h"	9663	6024	6181	7304	7186	8226	7342	7103	8547	8323	8727	8484
"Eif5"	6059	5288	7159	7206	6176	7553	9020	9848	5641	5898	8068	4486
"Eif5a"	15585	9211	10703	10330	10221	12224	10584	9565	20146	16915	26277	15692
"Eif5a2"	481	425	587	540	461	353	505	387	309	179	95	121
"Eif5b"	1277	1023	1082	1326	1082	1271	983	1352	1096	1067	1269	922
"Eif6"	2952	1636	1751	1944	1996	2291	1690	1840	3068	2719	3978	2590
"Elac1"	924	604	777	954	812	907	1104	1221	762	748	722	652
"Elac2"	630	396	511	503	672	633	570	541	528	754	797	646
"Elane"	0	0	0	0	0	0	0	0	15	0	13	1
"Elavl1"	5265	3677	3901	3911	4363	3905	3399	3282	4525	4523	4968	4558
"Elavl2"	0	0	0	0	0	0	0	0	0	0	0	0
"Elavl3"	0	0	0	0	1	2	0	2	0	0	0	3
"Elavl4"	18	0	35	0	0	28	14	4	0	0	0	0
"Eldr"	6	10	5	11	7	5	11	9	36	37	26	9
"Elf1"	4956	3454	3834	4297	3961	3643	3780	3998	2782	2673	2310	2308
"Elf2"	1861	1400	1690	1747	2423	3007	2726	2483	1697	1867	1716	1407
"Elf3"	0	4	0	19	0	0	15	6	0	0	0	0
"Elf4"	2745	1606	1654	1775	1902	1413	1353	1688	1837	2014	1247	2153
"Elf5"	0	0	0	0	0	0	0	0	0	0	0	0
"Elfn1"	0	0	0	1	0	1	1	2	0	0	0	0
"Elfn2"	0	0	0	0	0	0	0	0	0	0	0	6
"Elk1"	434	296	280	302	417	359	392	392	231	327	230	326
"Elk3"	2924	1902	1749	2067	2012	2504	1882	2318	768	1327	817	734
"Elk4"	698	421	441	661	580	517	711	647	466	420	332	380
"Ell"	1050	722	549	709	1122	1271	993	1006	1673	1784	1572	1883
"Ell2"	634	503	476	540	254	389	426	507	338	340	440	198
"Ell3"	0	12	19	5	1	0	8	19	14	7	7	1
"Elmo1"	5287	4063	4862	4465	4816	5259	3913	5453	3175	2665	2329	2727
"Elmo2"	5520	3884	3764	4468	4047	5640	4659	4290	7025	7821	6062	6158
"Elmo3"	21	8	11	17	8	86	1	10	6	0	12	6
"Elmod1"	29	0	1	0	1	1	28	2	0	0	1	0
"Elmod2"	1145	704	694	897	1118	1390	1170	1365	1483	1125	1032	1145
"Elmod3"	611	340	307	431	491	575	439	417	257	345	344	270
"Elmsan1"	1754	1227	1313	1383	1613	1291	1541	1539	1005	919	885	934
"Eln"	27	28	96	92	16	18	44	22	5	0	0	0
"Elof1"	884	408	536	649	739	956	745	713	820	564	971	531
"Elovl1"	3677	2070	2067	2181	2748	2635	1895	2294	2587	2669	2704	2801
"Elovl2"	17	0	0	0	0	0	0	0	0	0	0	0
"Elovl3"	0	0	0	0	0	0	0	9	6	0	6	1
"Elovl4"	31	10	17	2	10	1	4	17	0	1	16	0
"Elovl5"	1669	1562	1314	1762	1010	1358	903	1081	12449	13101	8647	10390
"Elovl6"	39	53	73	109	39	79	66	79	98	64	39	74
"Elovl7"	7	14	0	8	3	5	0	4	50	82	63	45
"Elp2"	1922	1194	1659	1643	1752	2103	1804	1714	2348	2509	2695	1959
"Elp3"	753	746	647	525	860	1014	843	856	1458	1443	1565	1110
"Elp4"	325	318	247	287	338	306	309	248	412	324	460	292
"Elp5"	833	608	541	789	792	987	722	728	848	910	1102	615
"Elp6"	127	66	84	141	89	175	45	66	136	157	224	146
"Emb"	2237	2204	2336	2447	542	797	533	707	725	878	666	642
"Emc1"	5623	3592	4027	4592	4658	5080	4018	4452	4190	4145	3542	4220
"Emc10"	3220	1789	1903	2190	2266	2690	2435	2380	3163	3746	3790	3068
"Emc2"	1111	975	1232	1341	1037	1157	1242	1382	1691	1209	1742	988
"Emc3"	3508	2295	2404	2592	2874	3302	2775	2947	3025	2972	3337	2211
"Emc4"	961	667	631	672	726	894	897	919	1225	933	1638	865
"Emc6"	1114	721	763	796	826	1098	887	913	1100	1136	1510	865
"Emc7"	1843	1122	1245	1297	1556	1740	1478	1564	1947	1783	2212	1534
"Emc8"	1143	715	608	791	973	1252	1102	1111	1122	966	1178	627
"Emc8-1190005i06rik"	0	0	0	0	0	0	0	0	0	0	7	0
"Emc9"	207	203	199	159	242	173	163	233	193	105	175	162
"Emcn"	51	60	88	65	22	20	19	19	0	0	0	0
"Emd"	689	675	808	563	625	888	854	655	922	751	1123	589
"Eme1"	72	12	24	16	59	4	31	89	192	116	170	71
"Eme2"	182	74	114	229	167	340	221	226	246	213	226	167
"Emg1"	868	510	648	665	548	815	599	606	1227	994	1578	822
"Emid1"	0	0	14	11	0	0	7	3	0	0	0	0
"Emilin1"	1838	1222	884	1437	708	1003	564	762	11710	14040	10755	13012
"Emilin2"	4655	2700	2973	3820	2657	3471	2302	2480	96956	155432	88916	144110
"Emilin3"	0	0	0	0	0	0	0	2	0	0	0	0
"Eml1"	107	34	33	41	10	37	3	23	312	356	307	296
"Eml2"	203	103	109	166	117	117	19	133	253	311	166	171
"Eml3"	1600	930	856	1267	1318	1705	1171	1361	1144	996	1210	1125
"Eml4"	2080	1502	1341	1884	1817	1882	1490	2008	1460	1465	1387	1367
"Eml5"	0	0	0	11	14	14	20	13	96	50	62	35
"Eml6"	114	90	194	147	98	79	102	48	332	323	229	316
"Emp1"	863	388	568	380	349	280	486	290	1207	2631	2196	840
"Emp2"	13	31	64	103	0	11	28	23	0	22	1	16
"Emp3"	5710	3751	3894	4324	3469	3913	3082	2975	7718	10145	10645	7522
"Emx1"	0	0	0	0	0	0	0	0	0	0	0	0
"Emx2"	0	0	0	0	0	0	0	12	0	0	0	0
"Emx2os"	0	0	2	0	0	0	0	1	0	0	0	0
"En1"	0	0	0	0	0	0	0	0	0	0	0	0
"En2"	80	0	9	9	11	0	0	0	0	1	9	12
"Enah"	31	7	4	40	9	19	20	20	13	23	41	20
"Enam"	0	22	0	0	0	0	0	0	0	0	0	0
"Enc1"	99	114	92	101	11	43	105	74	7	2	0	0
"Endod1"	1422	861	997	1155	767	905	524	418	327	421	234	284
"Endog"	212	174	90	112	134	244	244	145	214	198	413	248
"Endou"	0	0	14	0	0	7	4	0	0	0	0	0
"Endov"	138	127	86	173	224	285	142	217	173	329	297	206
"Eng"	1821	1294	1062	1266	1024	1307	1005	1024	1491	1434	1009	1641
"Engase"	1968	1787	1755	1833	3798	4725	4134	3103	12894	13678	9914	8241
"Enho"	287	93	93	117	311	305	297	252	10	0	3	3
"Enkd1"	55	19	32	21	55	46	76	70	123	50	129	99
"Enkur"	26	4	19	16	7	7	13	14	10	13	39	16
"Eno1"	221	241	279	280	210	91	118	150	742	1019	956	578
"Eno1b"	2	7	0	0	6	8	8	7	14	16	16	20
"Eno2"	49	12	20	68	13	34	60	3	0	0	0	0
"Eno3"	174	148	118	236	136	285	139	270	114	74	216	87
"Eno4"	7	0	0	0	0	0	0	1	17	20	3	2
"Enoph1"	757	486	701	638	508	662	613	539	816	635	900	583
"Enox1"	26	0	18	0	4	0	0	4	0	0	0	0
"Enox2"	1034	564	682	785	953	1168	865	1079	933	583	789	490
"Enpep"	54	94	57	90	8	19	60	31	8	0	0	0
"Enpp1"	777	683	547	583	1280	1031	1062	1281	588	945	623	531
"Enpp2"	158	85	105	449	134	122	197	309	0	0	1	0
"Enpp3"	1	8	27	0	0	0	0	0	0	0	0	0
"Enpp4"	1985	1442	1308	1527	2202	1641	1799	2057	2069	1410	1303	1514
"Enpp5"	188	202	107	286	300	220	200	183	2407	1424	1311	1249
"Enpp6"	7	6	38	0	0	15	0	25	1	0	0	9
"Enpp7"	0	0	0	0	0	0	0	0	0	0	0	0
"Ensa"	4261	2330	2822	2837	3071	3361	2835	3428	2420	2069	2484	2013
"Enthd1"	0	13	0	6	0	0	5	0	0	4	0	2
"Enthd2"	454	365	417	342	467	525	504	461	311	308	325	349
"Entpd1"	9069	6704	5730	6676	7807	11045	7372	8253	4196	4240	3403	3787
"Entpd2"	16	12	21	42	0	13	0	3	37	49	4	31
